Sl. No.,Heads of Crime,Major Head,Minor head,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
673,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0
674,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,0,0,0
675,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0
676,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,0,0,0,0
677,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0
678,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,1,0,0,0
679,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,5,0,3,1
680,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0
681,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,28,10,11,9
682,D.CRIME AGAINST CHILDREN,POCSO Act,NA,917,300,309,278
683,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,8,0,4,1
684,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,30,2,8,13
685,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,19,0,4,2
686,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,0,0,0,0
687,  E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs ,Murder,NA,31,6,13,8
688,  E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs ,Rape,NA,46,22,15,19
689,  E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs ,Kidnapping,NA,19,4,6,10
690,  E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs ,Offences under the Protection of Civil Rights Act.,NA,0,0,0,0
691,  E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs ,Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,523,131,174,168
